Computer Science Department Course Enrollments,,,,,
,,,CSC,SE,CPE
,,FTF,,,
,,Total U,,,
,,Total G,,,
,Total Enrolled,2263,2344,2280,6887
,Total Crs Sect.,66,65,68,199
,,2014-2015,,,
,,,,,
Course,,Fall,Winter,Spring,14-15 AY
100,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
101,# of Sections,3,10,7,20
,Total Enrollment,82,349,234,665
,Last Waitlist,26,50,38,
,Utilization,91.11,116.33,111.43,110.83
102,# of Sections,1,4,10,15
,Total Enrollment,71,140,324,535
,Last Waitlist,53,11,18,
,Utilization,236.67,116.67,108.00,118.89
103,# of Sections,8,3,2,13
,Total Enrollment,277,91,62,430
,Last Waitlist,35,1,13,
,Utilization,115.42,101.11,103.33,110.26
108,# of Sections,,,,
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
110,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
123,# of Sections,11,0,0,11
,Total Enrollment,350,,,350
,Last Waitlist,7,,,
,Utilization,106.06,0.00,0.00,106.06
141,# of Sections,2,3,3,8
,Total Enrollment,65,166,156,387
,Last Waitlist,6,68,13,
,Utilization,108.33,184.44,173.33,161.25
225,# of Sections,5,3,1,9
,Total Enrollment,183,88,33,304
,Last Waitlist,35,0,4,
,Utilization,122.00,97.78,110.00,112.59
231,# of Sections,4,3,5,12
,Total Enrollment,129,96,167,392
,Last Waitlist,35,39,16,
,Utilization,107.50,106.67,111.33,108.89
232,# of Sections,2,1,1,4
,Total Enrollment,67,31,28,126
,Last Waitlist,6,8,5,
,Utilization,111.67,103.33,93.33,105.00
234,# of Sections,0,2,2,4
,Total Enrollment,,63,64,127
,Last Waitlist,,21,2,
,Utilization,0.00,105.00,106.67,105.83
235,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
236,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
237,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
238,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
300,# of Sections,2,2,2,6
,Total Enrollment,67,62,54,183
,Last Waitlist,30,11,9,
,Utilization,111.67,103.33,90.00,101.67
301,# of Sections,0,0,0,0
,Total Enrollment,,0,,0
,Last Waitlist,,0,,
,Utilization,0.00,53.33,0.00,26.67
302,# of Sections,0,1,0,1
,Total Enrollment,,16,,16
,Last Waitlist,,0,,
,Utilization,0.00,53.33,0.00,53.33
303,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
305,# of Sections,1,1,0,2
,Total Enrollment,31,30,,61
,Last Waitlist,16,10,,
,Utilization,103.33,100.00,0.00,101.67
307,# of Sections,1,0,2,3
,Total Enrollment,35,,71,106
,Last Waitlist,31,,14,
,Utilization,116.67,0.00,118.33,117.78
308,# of Sections,1,2,0,3
,Total Enrollment,36,67,,103
,Last Waitlist,51,36,,
,Utilization,120.00,111.67,0.00,114.44
309,# of Sections,0,1,2,3
,Total Enrollment,,36,61,97
,Last Waitlist,,1,0,
,Utilization,0.00,120.00,101.67,107.78
310,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
315,# of Sections,3,3,4,10
,Total Enrollment,103,107,114,324
,Last Waitlist,12,24,23,
,Utilization,114.44,118.89,95.00,108.00
316,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
321,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
,Utilization,0.00,0.00,0.00,0.00
323,# of Sections,0,0,0,0
,Total Enrollment,,,,0
,Last Waitlist,,,,
