Term,Course College,Course Department,Course ID,Subject Code,Catalog Nbr,Course Title,Component,Requirement Designation,Crosslisted As,Seat Demand,Sections Offered,Enrollment Capacity,Unmet Seat Demand,% Unmet Seat Demand
Fall Quarter 2017,College of Engineering,Computer Engineering,2888,CPE,431,Programming Languages II,LEC,-,Crosslisted as CPE/CSC 431.,21,0,0,21,100
Fall Quarter 2017,College of Engineering,Computer Engineering,9662,CPE,428,Computer Vision,LEC,-,Crosslisted as CPE/EE 428.,14,0,0,14,100
Fall Quarter 2017,College of Engineering,Computer Engineering,10276,CPE,419,Applied Parallel Computing,LEC,-,-,13,0,0,13,100
Fall Quarter 2017,College of Engineering,Computer Engineering,9359,CPE,416,Autonomous Mobile Robotics,LEC,-,-,10,0,0,10,100
Fall Quarter 2017,College of Engineering,Computer Engineering,3750,CPE,336,Microprocessor System Design,LEC,-,Crosslisted as CPE/EE 336.,9,0,0,9,100
Fall Quarter 2017,College of Engineering,Computer Engineering,3718,CPE,328,Discrete Time Signals and Systems,LEC,-,Crosslisted as CPE/EE 328.,5,0,0,5,100
Fall Quarter 2017,College of Engineering,Computer Engineering,3649,CPE,432,Digital Control Systems,LEC,-,Crosslisted as CPE/EE 432.,5,0,0,5,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2801,CPE,465,Advanced Computer Networks,LEC,-,-,4,0,0,4,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2599,CPE,450,Capstone II,LEC,-,-,3,0,0,3,100
Fall Quarter 2017,College of Engineering,Computer Engineering,3607,CPE,472,Digital Control Systems Laboratory,LAB,-,Crosslisted as CPE/EE 472.,3,0,0,3,100
Fall Quarter 2017,College of Engineering,Computer Engineering,8716,CPE,368,Signals and Systems Laboratory,LAB,-,Crosslisted as CPE/EE 368.,2,0,0,2,100
Fall Quarter 2017,College of Engineering,Computer Engineering,3745,CPE,441,Computer-Aided Design of VLSI Devices,LEC,-,Crosslisted as CPE 441/EE 431.,2,0,0,2,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2579,CPE,469,Distributed Systems,LEC,-,Crosslisted as CSC/CPE 469.,2,0,0,2,100
Fall Quarter 2017,College of Engineering,Computer Engineering,9663,CPE,485,Autonomous Robot Navigation,LEC,-,-,2,0,0,2,100
Fall Quarter 2017,College of Engineering,Computer Engineering,5376,CPE,488,Microelectronics and Electronics Packaging,LEC,-,Crosslisted as CPE 488/IME 458/MATE 458.,2,0,0,2,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2821,CPE,569,Distributed Computing,LEC,-,Crosslisted as CPE/CSC 569.,2,0,0,2,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2572,CPE,108,Accelerated Introduction to Computer Science,LEC,-,Crosslisted as CPE/CSC 108.,1,0,0,1,100
Fall Quarter 2017,College of Engineering,Computer Engineering,10799,CPE,422,Network and Web Security,LEC,-,Crosslisted as CPE/CSC 422.,1,0,0,1,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2890,CPE,454,Implementation of Operating Systems,LEC,-,Crosslisted as CPE/CSC 454.,1,0,0,1,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2604,CPE,470,Selected Advanced Topics,LEC,-,-,1,0,0,1,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2897,CPE,476,Real-Time 3D Computer Graphics Software,LEC,-,Crosslisted as CPE/CSC 476.,1,0,0,1,100
Fall Quarter 2017,College of Engineering,Computer Engineering,2889,CPE,453,Introduction to Operating Systems,LEC,-,Crosslisted as CPE/CSC 453.,123,3,72,51,41.46341463
Fall Quarter 2017,College of Engineering,Computer Engineering,9420,CPE,350,Capstone I,LEC,-,-,122,3,72,50,40.98360656
Fall Quarter 2017,College of Engineering,Computer Engineering,9860,CPE,123,Introduction to Computing,LEC,-,Crosslisted as CPE/CSC 123.,14,10,10,4,28.57142857
Fall Quarter 2017,College of Engineering,Computer Engineering,2870,CPE,464,Introduction to Computer Networks,LEC,-,-,72,2,55,17,23.61111111
Fall Quarter 2017,College of Engineering,Computer Engineering,2588,CPE,100,Computer Engineering Orientation,LEC,-,-,1,1,150,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2833,CPE,101,Fundamentals of Computer Science,LEC,-,Crosslisted as CPE/CSC 101.,37,3,94,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,9211,CPE,133,Digital Design,LEC,-,Crosslisted as CPE/EE 133.,57,5,160,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2573,CPE,200,Special Problems for Undergraduates,IND,-,-,1,1,30,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2859,CPE,202,Data Structures,LEC,-,Crosslisted as CPE/CSC 202.,4,10,333,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2841,CPE,203,Project-Based Object-Oriented Programming and Design,LEC,-,Crosslisted as CPE/CSC 203.,21,2,60,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,9909,CPE,233,Computer Design and Assembly Language Programming,LEC,-,Crosslisted as CPE/EE 233.,54,4,128,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2849,CPE,315,Computer Architecture,LEC,-,-,112,4,125,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,9006,CPE,321,Introduction to Computer Security,LEC,-,Crosslisted as CPE/CSC 321.,14,2,54,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2594,CPE,329,Programmable Logic and Microprocessor-Based Systems Design,LEC,-,Crosslisted as CPE/EE 329.,45,2,64,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2590,CPE,357,Systems Programming,LEC,-,Crosslisted as CPE/CSC 357.,83,3,90,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2578,CPE,400,Special Problems for Undergraduates,IND,-,-,2,1,30,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,3732,CPE,439,Introduction to Real-Time Operating Systems,LEC,-,Crosslisted as CPE/EE 439.,17,1,32,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2600,CPE,458,Current Topics in Computer Systems,LEC,-,Crosslisted as CPE/CSC 458.,2,1,30,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2601,CPE,461,Senior Project I,LAB,-,-,16,1,18,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2602,CPE,462,Senior Project II,LAB,-,-,16,1,20,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2891,CPE,471,Introduction to Computer Graphics,LEC,-,Crosslisted as CPE/CSC 471.,25,2,60,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2610,CPE,493,Cooperative Education Experience,IND,COOP,-,0,1,30,0,0
Fall Quarter 2017,College of Engineering,Computer Engineering,2580,CPE,494,Cooperative Education Experience,IND,COOP,-,0,1,30,0,0
